activation,layers,learning_rate,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
relu,"(275,137)",0.01,0.85,0.89,0.807,0.859,0.708,0.849,0.608,0.525,0.644,0.45,0.159,0.585,0.577,0.375,0.667,0.353,0.04,0.521
relu,"(275,137)",0.001,0.858,0.932,0.784,0.868,0.726,0.858,0.585,0.625,0.567,0.484,0.179,0.596,0.538,0.625,0.5,0.455,0.116,0.562
relu,"(275,137)",0.0001,0.905,0.892,0.918,0.905,0.812,0.905,0.631,0.175,0.833,0.216,-0.0,0.504,0.615,0.125,0.833,0.167,-0.053,0.479
relu,"(300,150)",0.1,0.796,0.85,0.738,0.812,0.611,0.794,0.538,0.525,0.544,0.401,0.07,0.535,0.5,0.375,0.556,0.316,-0.065,0.465
relu,"(300,150)",0.01,0.811,0.919,0.7,0.832,0.637,0.81,0.577,0.525,0.6,0.431,0.117,0.562,0.615,0.5,0.667,0.444,0.158,0.583
relu,"(300,150)",0.001,0.818,0.866,0.773,0.829,0.646,0.82,0.623,0.45,0.7,0.424,0.148,0.575,0.615,0.375,0.722,0.375,0.097,0.549
relu,"(300,150)",0.0001,0.892,0.906,0.879,0.894,0.788,0.892,0.546,0.525,0.556,0.416,0.075,0.54,0.577,0.5,0.611,0.421,0.104,0.556
relu,"(25,25)",0.1,0.805,0.905,0.704,0.824,0.631,0.804,0.515,0.425,0.556,0.348,-0.019,0.49,0.577,0.25,0.722,0.267,-0.029,0.486
relu,"(25,25)",0.01,0.81,0.892,0.73,0.829,0.64,0.811,0.608,0.325,0.733,0.331,0.056,0.529,0.692,0.25,0.889,0.333,0.178,0.569
relu,"(25,25)",0.001,0.825,0.919,0.729,0.839,0.664,0.824,0.608,0.575,0.622,0.473,0.184,0.599,0.654,0.625,0.667,0.526,0.272,0.646
relu,"(25,25)",0.0001,0.804,0.919,0.689,0.825,0.625,0.804,0.554,0.65,0.511,0.473,0.149,0.581,0.577,0.625,0.556,0.476,0.167,0.59
relu,"(50,50)",0.1,0.811,0.757,0.866,0.799,0.63,0.811,0.562,0.275,0.689,0.279,-0.032,0.482,0.654,0.25,0.833,0.308,0.098,0.542
relu,"(50,50)",0.01,0.844,0.906,0.785,0.855,0.698,0.845,0.577,0.525,0.6,0.434,0.118,0.562,0.577,0.625,0.556,0.476,0.167,0.59
relu,"(50,50)",0.001,0.838,0.879,0.797,0.844,0.682,0.838,0.577,0.45,0.633,0.395,0.079,0.542,0.615,0.375,0.722,0.375,0.097,0.549
relu,"(50,50)",0.0001,0.871,0.879,0.866,0.873,0.748,0.872,0.577,0.525,0.6,0.428,0.116,0.562,0.538,0.375,0.611,0.333,-0.013,0.493
relu,"(75,75)",0.1,0.845,0.81,0.88,0.838,0.702,0.845,0.569,0.375,0.656,0.346,0.03,0.515,0.538,0.5,0.556,0.4,0.051,0.528
