activation,layers,learning_rate,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
relu,"(25,12)",0.0001,0.7,0.4,0.823,0.438,0.26,0.611,0.538,0.375,0.611,0.329,-0.014,0.493,0.5,0.25,0.611,0.235,-0.135,0.431
relu,"(50,25)",0.1,0.73,0.133,0.973,0.196,0.17,0.553,0.677,0.175,0.9,0.233,0.078,0.538,0.577,0.625,0.556,0.476,0.167,0.59
relu,"(50,25)",0.01,0.626,0.433,0.704,0.398,0.142,0.569,0.554,0.325,0.656,0.303,-0.02,0.49,0.462,0.375,0.5,0.3,-0.116,0.438
relu,"(50,25)",0.001,0.75,0.5,0.85,0.516,0.362,0.675,0.654,0.175,0.867,0.234,0.052,0.521,0.654,0.125,0.889,0.182,0.02,0.507
relu,"(50,25)",0.0001,0.701,0.367,0.836,0.406,0.224,0.601,0.715,0.225,0.933,0.328,0.239,0.579,0.692,0.125,0.944,0.2,0.12,0.535
relu,"(75,37)",0.1,0.711,0.4,0.84,0.396,0.243,0.62,0.662,0.375,0.789,0.389,0.201,0.582,0.731,0.5,0.833,0.533,0.347,0.667
relu,"(75,37)",0.01,0.596,0.4,0.677,0.335,0.065,0.539,0.623,0.475,0.689,0.437,0.164,0.582,0.615,0.5,0.667,0.444,0.158,0.583
relu,"(75,37)",0.001,0.644,0.467,0.715,0.429,0.179,0.591,0.692,0.4,0.822,0.434,0.239,0.611,0.769,0.5,0.889,0.571,0.426,0.694
relu,"(75,37)",0.0001,0.625,0.267,0.77,0.284,0.037,0.518,0.638,0.0,0.922,0.0,-0.157,0.461,0.615,0.0,0.889,0.0,-0.192,0.444
relu,"(100,50)",0.1,0.711,0.0,1.0,0.0,0.0,0.5,0.692,0.0,1.0,0.0,0.0,0.5,0.692,0.0,1.0,0.0,0.0,0.5
relu,"(100,50)",0.01,0.644,0.667,0.636,0.51,0.276,0.651,0.685,0.475,0.778,0.482,0.261,0.626,0.769,0.375,0.944,0.5,0.409,0.66
relu,"(100,50)",0.001,0.655,0.567,0.69,0.471,0.238,0.629,0.723,0.325,0.9,0.41,0.275,0.612,0.769,0.25,1.0,0.4,0.433,0.625
relu,"(100,50)",0.0001,0.557,0.567,0.553,0.418,0.114,0.56,0.6,0.7,0.556,0.517,0.237,0.628,0.615,0.75,0.556,0.545,0.283,0.653
relu,"(125,62)",0.1,0.711,0.0,1.0,0.0,0.0,0.5,0.692,0.0,1.0,0.0,0.0,0.5,0.731,0.125,1.0,0.222,0.3,0.562
relu,"(125,62)",0.01,0.593,0.533,0.618,0.428,0.146,0.576,0.631,0.425,0.722,0.407,0.149,0.574,0.577,0.375,0.667,0.353,0.04,0.521
relu,"(125,62)",0.001,0.684,0.6,0.718,0.521,0.309,0.659,0.669,0.225,0.867,0.296,0.12,0.546,0.731,0.25,0.944,0.364,0.281,0.597
relu,"(125,62)",0.0001,0.557,0.7,0.499,0.483,0.178,0.6,0.377,0.625,0.267,0.382,-0.111,0.446,0.423,0.625,0.333,0.4,-0.04,0.479
relu,"(150,75)",0.1,0.594,0.433,0.654,0.343,0.132,0.544,0.638,0.45,0.722,0.422,0.266,0.586,0.769,0.25,1.0,0.4,0.433,0.625
relu,"(150,75)",0.01,0.673,0.333,0.811,0.373,0.162,0.572,0.592,0.375,0.689,0.364,0.066,0.532,0.692,0.25,0.889,0.333,0.178,0.569
relu,"(150,75)",0.001,0.73,0.4,0.864,0.443,0.287,0.632,0.708,0.325,0.878,0.406,0.27,0.601,0.731,0.25,0.944,0.364,0.281,0.597
relu,"(150,75)",0.0001,0.682,0.2,0.878,0.251,0.106,0.539,0.715,0.1,0.989,0.173,0.204,0.544,0.731,0.125,1.0,0.222,0.3,0.562
relu,"(175,87)",0.1,0.711,0.0,1.0,0.0,0.0,0.5,0.692,0.0,1.0,0.0,0.0,0.5,0.692,0.0,1.0,0.0,0.0,0.5
relu,"(175,87)",0.01,0.556,0.567,0.55,0.407,0.108,0.559,0.662,0.475,0.744,0.452,0.228,0.61,0.731,0.375,0.889,0.462,0.309,0.632
relu,"(175,87)",0.001,0.654,0.567,0.69,0.421,0.241,0.628,0.669,0.2,0.878,0.265,0.123,0.539,0.692,0.125,0.944,0.2,0.12,0.535
relu,"(175,87)",0.0001,0.595,0.667,0.566,0.464,0.212,0.616,0.508,0.675,0.433,0.456,0.103,0.554,0.462,0.625,0.389,0.417,0.013,0.507
relu,"(200,100)",0.1,0.711,0.0,1.0,0.0,0.0,0.5,0.692,0.0,1.0,0.0,0.0,0.5,0.692,0.0,1.0,0.0,0.0,0.5
relu,"(200,100)",0.01,0.613,0.567,0.632,0.453,0.189,0.6,0.623,0.375,0.733,0.38,0.112,0.554,0.654,0.25,0.833,0.308,0.098,0.542
relu,"(200,100)",0.001,0.712,0.533,0.784,0.462,0.309,0.659,0.646,0.0,0.933,0.0,-0.128,0.467,0.692,0.0,1.0,0.0,0.0,0.5
relu,"(200,100)",0.0001,0.625,0.667,0.608,0.497,0.253,0.637,0.423,0.3,0.478,0.242,-0.206,0.389,0.462,0.375,0.5,0.3,-0.116,0.438
relu,"(225,112)",0.1,0.711,0.333,0.863,0.335,0.224,0.598,0.669,0.4,0.789,0.417,0.207,0.594,0.808,0.375,1.0,0.545,0.542,0.688
relu,"(225,112)",0.01,0.635,0.233,0.798,0.264,0.045,0.516,0.623,0.425,0.711,0.402,0.136,0.568,0.692,0.375,0.833,0.429,0.228,0.604
