activation,layers,learning_rate,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
relu,"(150,75)",0.0001,0.809,0.347,0.927,0.426,0.337,0.637,0.823,0.527,0.9,0.551,0.443,0.714,0.849,0.545,0.929,0.6,0.512,0.737
relu,"(175,87)",0.1,0.751,0.464,0.825,0.437,0.28,0.644,0.751,0.582,0.795,0.484,0.335,0.689,0.774,0.455,0.857,0.455,0.312,0.656
relu,"(175,87)",0.01,0.814,0.372,0.928,0.452,0.372,0.65,0.766,0.527,0.829,0.48,0.337,0.678,0.792,0.636,0.833,0.56,0.432,0.735
relu,"(175,87)",0.001,0.799,0.278,0.934,0.358,0.28,0.606,0.8,0.545,0.867,0.531,0.405,0.706,0.811,0.545,0.881,0.545,0.426,0.713
relu,"(175,87)",0.0001,0.804,0.275,0.94,0.354,0.282,0.607,0.819,0.564,0.886,0.564,0.45,0.725,0.868,0.636,0.929,0.667,0.586,0.782
relu,"(200,100)",0.1,0.737,0.467,0.807,0.425,0.26,0.637,0.747,0.455,0.824,0.426,0.266,0.639,0.755,0.273,0.881,0.316,0.174,0.577
relu,"(200,100)",0.01,0.804,0.369,0.916,0.434,0.352,0.643,0.789,0.509,0.862,0.498,0.366,0.685,0.755,0.636,0.786,0.519,0.373,0.711
relu,"(200,100)",0.001,0.809,0.328,0.934,0.414,0.337,0.631,0.808,0.545,0.876,0.536,0.417,0.711,0.811,0.545,0.881,0.545,0.426,0.713
relu,"(200,100)",0.0001,0.809,0.306,0.939,0.397,0.323,0.622,0.826,0.545,0.9,0.564,0.458,0.723,0.792,0.545,0.857,0.522,0.39,0.701
relu,"(225,112)",0.1,0.751,0.464,0.825,0.44,0.287,0.645,0.766,0.582,0.814,0.508,0.363,0.698,0.811,0.636,0.857,0.583,0.465,0.747
relu,"(225,112)",0.01,0.79,0.372,0.898,0.422,0.305,0.635,0.789,0.509,0.862,0.498,0.366,0.685,0.792,0.727,0.81,0.593,0.474,0.768
relu,"(225,112)",0.001,0.814,0.328,0.94,0.422,0.353,0.634,0.808,0.509,0.886,0.522,0.402,0.697,0.774,0.455,0.857,0.455,0.312,0.656
relu,"(225,112)",0.0001,0.809,0.328,0.934,0.417,0.341,0.631,0.811,0.491,0.895,0.519,0.405,0.693,0.792,0.455,0.881,0.476,0.348,0.668
relu,"(250,125)",0.1,0.756,0.394,0.849,0.401,0.252,0.622,0.785,0.564,0.843,0.522,0.387,0.703,0.755,0.727,0.762,0.552,0.419,0.745
relu,"(250,125)",0.01,0.785,0.372,0.892,0.395,0.289,0.632,0.777,0.509,0.848,0.48,0.342,0.678,0.774,0.636,0.81,0.538,0.401,0.723
relu,"(250,125)",0.001,0.799,0.35,0.915,0.407,0.313,0.633,0.781,0.473,0.862,0.474,0.338,0.667,0.736,0.455,0.81,0.417,0.249,0.632
relu,"(250,125)",0.0001,0.818,0.394,0.927,0.465,0.373,0.661,0.792,0.473,0.876,0.487,0.359,0.674,0.774,0.455,0.857,0.455,0.312,0.656
relu,"(275,137)",0.1,0.799,0.392,0.904,0.44,0.333,0.648,0.8,0.545,0.867,0.533,0.407,0.706,0.755,0.273,0.881,0.316,0.174,0.577
relu,"(275,137)",0.01,0.794,0.394,0.898,0.438,0.332,0.646,0.792,0.545,0.857,0.521,0.389,0.701,0.717,0.545,0.762,0.444,0.272,0.654
relu,"(275,137)",0.001,0.804,0.347,0.921,0.421,0.328,0.634,0.796,0.527,0.867,0.517,0.388,0.697,0.774,0.545,0.833,0.5,0.357,0.689
relu,"(275,137)",0.0001,0.813,0.394,0.921,0.465,0.374,0.658,0.804,0.509,0.881,0.518,0.396,0.695,0.792,0.545,0.857,0.522,0.39,0.701
