activation,layers,learning_rate,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
relu,"(50,25)",0.1,0.894,0.962,0.825,0.901,0.797,0.894,0.666,0.463,0.73,0.4,0.178,0.597,0.671,0.684,0.667,0.5,0.304,0.675
relu,"(50,25)",0.01,0.917,0.962,0.871,0.92,0.838,0.917,0.648,0.368,0.737,0.335,0.1,0.553,0.658,0.368,0.75,0.341,0.113,0.559
relu,"(50,25)",0.001,0.912,0.975,0.85,0.918,0.832,0.912,0.663,0.347,0.763,0.333,0.109,0.555,0.671,0.316,0.783,0.316,0.099,0.55
relu,"(50,25)",0.0001,0.91,0.979,0.842,0.916,0.83,0.91,0.656,0.316,0.763,0.307,0.079,0.54,0.658,0.316,0.767,0.308,0.081,0.541
relu,"(75,37)",0.1,0.873,0.958,0.788,0.884,0.757,0.873,0.643,0.484,0.693,0.398,0.164,0.589,0.696,0.474,0.767,0.429,0.226,0.62
relu,"(75,37)",0.01,0.917,0.971,0.862,0.921,0.839,0.917,0.643,0.337,0.74,0.311,0.073,0.538,0.62,0.263,0.733,0.25,-0.003,0.498
relu,"(75,37)",0.001,0.917,0.979,0.854,0.921,0.841,0.917,0.686,0.337,0.797,0.341,0.135,0.567,0.722,0.316,0.85,0.353,0.181,0.583
relu,"(75,37)",0.0001,0.919,0.975,0.862,0.923,0.844,0.919,0.684,0.337,0.793,0.338,0.131,0.565,0.722,0.316,0.85,0.353,0.181,0.583
relu,"(100,50)",0.1,0.823,0.946,0.7,0.855,0.666,0.823,0.605,0.621,0.6,0.436,0.215,0.611,0.696,0.474,0.767,0.429,0.226,0.62
relu,"(100,50)",0.01,0.915,0.975,0.854,0.919,0.835,0.915,0.676,0.453,0.747,0.401,0.185,0.6,0.633,0.368,0.717,0.326,0.079,0.543
relu,"(100,50)",0.001,0.919,0.971,0.867,0.923,0.843,0.919,0.684,0.432,0.763,0.396,0.185,0.597,0.684,0.368,0.783,0.359,0.149,0.576
relu,"(100,50)",0.0001,0.915,0.967,0.862,0.919,0.834,0.915,0.691,0.453,0.767,0.413,0.208,0.61,0.684,0.368,0.783,0.359,0.149,0.576
relu,"(125,62)",0.1,0.894,0.962,0.825,0.901,0.796,0.894,0.666,0.474,0.727,0.406,0.184,0.6,0.684,0.421,0.767,0.39,0.179,0.594
relu,"(125,62)",0.01,0.912,0.967,0.858,0.917,0.83,0.912,0.663,0.4,0.747,0.365,0.141,0.573,0.646,0.368,0.733,0.333,0.096,0.551
relu,"(125,62)",0.001,0.912,0.967,0.858,0.917,0.83,0.912,0.691,0.379,0.79,0.372,0.169,0.584,0.696,0.368,0.8,0.368,0.168,0.584
relu,"(125,62)",0.0001,0.912,0.967,0.858,0.917,0.83,0.912,0.699,0.411,0.79,0.398,0.198,0.6,0.709,0.368,0.817,0.378,0.189,0.593
relu,"(150,75)",0.1,0.779,0.967,0.592,0.814,0.603,0.779,0.59,0.758,0.537,0.471,0.253,0.647,0.241,1.0,0.0,0.388,0.0,0.5
relu,"(150,75)",0.01,0.921,0.967,0.875,0.924,0.845,0.921,0.661,0.4,0.743,0.363,0.136,0.572,0.671,0.421,0.75,0.381,0.161,0.586
relu,"(150,75)",0.001,0.919,0.962,0.875,0.922,0.841,0.919,0.668,0.389,0.757,0.361,0.14,0.573,0.671,0.368,0.767,0.35,0.131,0.568
relu,"(150,75)",0.0001,0.915,0.962,0.867,0.918,0.833,0.915,0.686,0.411,0.773,0.386,0.177,0.592,0.658,0.368,0.75,0.341,0.113,0.559
relu,"(175,87)",0.1,0.542,0.283,0.8,0.268,0.151,0.542,0.651,0.221,0.787,0.111,0.007,0.504,0.633,0.421,0.7,0.356,0.11,0.561
relu,"(175,87)",0.01,0.908,0.962,0.854,0.913,0.822,0.908,0.658,0.368,0.75,0.342,0.114,0.559,0.646,0.368,0.733,0.333,0.096,0.551
relu,"(175,87)",0.001,0.921,0.967,0.875,0.924,0.846,0.921,0.678,0.326,0.79,0.328,0.118,0.558,0.684,0.263,0.817,0.286,0.085,0.54
relu,"(175,87)",0.0001,0.919,0.971,0.867,0.923,0.843,0.919,0.686,0.316,0.803,0.327,0.124,0.56,0.684,0.263,0.817,0.286,0.085,0.54
relu,"(200,100)",0.1,0.873,0.954,0.792,0.884,0.76,0.873,0.643,0.463,0.7,0.376,0.149,0.582,0.684,0.421,0.767,0.39,0.179,0.594
relu,"(200,100)",0.01,0.915,0.971,0.858,0.919,0.835,0.915,0.668,0.432,0.743,0.386,0.165,0.587,0.671,0.421,0.75,0.381,0.161,0.586
relu,"(200,100)",0.001,0.925,0.967,0.883,0.928,0.853,0.925,0.719,0.4,0.82,0.406,0.223,0.61,0.696,0.368,0.8,0.368,0.168,0.584
relu,"(200,100)",0.0001,0.921,0.962,0.879,0.924,0.845,0.921,0.706,0.379,0.81,0.384,0.192,0.594,0.709,0.368,0.817,0.378,0.189,0.593
relu,"(225,112)",0.1,0.665,0.396,0.933,0.468,0.381,0.665,0.727,0.147,0.91,0.156,0.049,0.529,0.747,0.105,0.95,0.167,0.097,0.528
relu,"(225,112)",0.01,0.923,0.958,0.888,0.925,0.848,0.923,0.673,0.411,0.757,0.378,0.16,0.584,0.658,0.211,0.8,0.229,0.011,0.505
relu,"(225,112)",0.001,0.929,0.971,0.888,0.932,0.861,0.929,0.701,0.305,0.827,0.327,0.138,0.566,0.671,0.211,0.817,0.235,0.03,0.514
relu,"(225,112)",0.0001,0.929,0.971,0.888,0.932,0.861,0.929,0.699,0.305,0.823,0.326,0.135,0.564,0.684,0.263,0.817,0.286,0.085,0.54
relu,"(250,125)",0.1,0.852,0.958,0.746,0.868,0.725,0.852,0.628,0.537,0.657,0.402,0.17,0.597,0.684,0.368,0.783,0.359,0.149,0.576
relu,"(250,125)",0.01,0.919,0.971,0.867,0.923,0.842,0.919,0.658,0.4,0.74,0.36,0.131,0.57,0.646,0.368,0.733,0.333,0.096,0.551
relu,"(250,125)",0.001,0.927,0.967,0.888,0.93,0.857,0.927,0.691,0.316,0.81,0.33,0.13,0.563,0.646,0.211,0.783,0.222,-0.006,0.497
relu,"(250,125)",0.0001,0.929,0.971,0.888,0.932,0.861,0.929,0.704,0.368,0.81,0.374,0.18,0.589,0.671,0.263,0.8,0.278,0.066,0.532
