Kernel,C,degree,gamma,coef0,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
poly,10,3,0.1,3,-8.2,5.2,0.7,0.802,0.264,0.967,0.361,0.31,0.615,0.757,0.284,0.907,0.357,0.234,0.595,0.747,0.211,0.917,0.286,0.171,0.564
poly,10,3,0.1,4,-9.0,5.8,0.7,0.802,0.277,0.962,0.371,0.312,0.62,0.752,0.284,0.9,0.352,0.221,0.592,0.722,0.211,0.883,0.267,0.116,0.547
poly,10,3,0.01,0,-2.1,2.5,-0.5,0.796,0.26,0.958,0.374,0.328,0.609,0.749,0.295,0.893,0.361,0.224,0.594,0.734,0.263,0.883,0.323,0.174,0.573
poly,10,3,0.01,1,-10.1,6.1,1.9,0.796,0.126,1.0,0.213,0.277,0.563,0.759,0.137,0.957,0.214,0.165,0.547,0.759,0.158,0.95,0.24,0.174,0.554
poly,10,3,0.01,2,-11.9,8.6,0.8,0.802,0.302,0.954,0.395,0.337,0.628,0.739,0.253,0.893,0.314,0.177,0.573,0.747,0.368,0.867,0.412,0.256,0.618
poly,10,3,0.01,3,-12.2,8.2,0.9,0.808,0.316,0.958,0.427,0.371,0.637,0.744,0.263,0.897,0.327,0.193,0.58,0.734,0.316,0.867,0.364,0.204,0.591
poly,10,3,0.01,4,-13.4,8.7,1.2,0.808,0.303,0.962,0.408,0.362,0.633,0.752,0.253,0.91,0.324,0.202,0.581,0.759,0.263,0.917,0.345,0.231,0.59
poly,10,3,0.001,0,-1.0,0.5,-0.9,0.668,0.228,0.8,0.129,0.093,0.514,0.666,0.242,0.8,0.158,0.161,0.521,0.772,0.053,1.0,0.1,0.201,0.526
poly,10,3,0.001,1,-4.0,3.5,1.1,0.789,0.165,0.979,0.251,0.282,0.572,0.77,0.074,0.99,0.133,0.173,0.532,0.759,0.053,0.983,0.095,0.098,0.518
poly,10,3,0.001,2,-7.1,8.0,1.7,0.796,0.165,0.988,0.253,0.274,0.576,0.752,0.032,0.98,0.055,0.017,0.506,0.759,0.053,0.983,0.095,0.098,0.518
poly,10,3,0.001,3,-9.1,11.4,1.0,0.789,0.274,0.946,0.354,0.3,0.61,0.742,0.179,0.92,0.245,0.138,0.549,0.747,0.158,0.933,0.231,0.137,0.546
poly,10,3,0.001,4,-9.8,16.2,1.8,0.808,0.233,0.983,0.347,0.363,0.608,0.752,0.084,0.963,0.132,0.08,0.524,0.747,0.053,0.967,0.091,0.043,0.51
